name,online_ordering ,online_table_booking,rating,votes,approx_cost_for_two,restaurant_type,popularity
Jalsa,1,1,4.1,775,800,Buffet,Popular
Spice Elephant,1,0,4.1,787,800,Buffet,Popular
San Churro Cafe,1,0,3.8,918,800,Buffet,Popular
Addhuri Udupi Bhojana,0,0,3.7,88,300,Buffet,Low
Grand Village,0,0,3.8,166,600,Buffet,Moderate
Timepass Dinner,1,0,3.8,286,600,Buffet,Moderate
Rosewood International Hotel - Bar & Restaurant,0,0,3.6,8,800,Buffet,Low
Onesta,1,1,4.6,2556,600,Cafes,Very popular
Penthouse Cafe,1,0,4,324,700,other,Popular
Smacznego,1,0,4.2,504,550,Cafes,Popular
Village Café,1,0,4.1,402,500,Cafes,Popular
Cafe Shuffle,1,1,4.2,150,600,Cafes,Moderate
The Coffee Shack,1,1,4.2,164,500,Cafes,Moderate
Caf-Eleven,0,0,4,424,450,Cafes,Popular
Cafe Vivacity,1,0,3.8,90,650,Cafes,Low
Catch-up-ino,1,0,3.9,133,800,Cafes,Moderate
Kirthi's Biryani,1,0,3.8,144,700,Cafes,Moderate
T3H Cafe,0,0,3.9,93,300,Cafes,Low
360 Atoms Restaurant And Cafe,1,0,3.1,13,400,Cafes,Low
The Vintage Cafe,1,0,3,62,400,Cafes,Low
Woodee Pizza,1,0,3.7,180,500,Cafes,Moderate
Cafe Coffee Day,0,0,3.6,28,900,Cafes,Low
My Tea House,1,0,3.6,62,600,Cafes,Low
Hide Out Cafe,0,0,3.7,31,300,Cafes,Low
CAFE NOVA,0,0,3.2,11,600,Cafes,Low
Coffee Tindi,1,0,3.8,75,200,Cafes,Low
Sea Green Cafe,0,0,3.3,4,500,Cafes,Low
Cuppa,0,0,3.3,23,550,Cafes,Low
Srinathji's Cafe,0,0,3.8,148,550,Cafes,Moderate
Redberrys,1,0,4,219,600,Cafes,Moderate
Foodiction,1,0,2.8,506,500,other,Popular
Sweet Truth,1,0,3.9,35,500,Dining,Low
Ovenstory Pizza,1,0,3.9,172,750,Dining,Moderate
Faasos,1,0,4.2,415,500,other,Popular
Behrouz Biryani,1,0,3.9,230,650,Dining,Moderate
Fast And Fresh,1,0,2.8,91,400,Dining,Low
Szechuan Dragon,1,0,4.2,1647,600,Dining,Very popular
Empire Restaurant,1,0,4.4,4884,750,other,Very popular
Maruthi Davangere Benne Dosa,1,0,4,17,150,Dining,Low
Chaatimes,1,0,3.8,133,200,Dining,Moderate
Havyaka Mess,0,0,3.9,28,300,Dining,Low
McDonald's,1,0,3.9,286,500,Dining,Moderate
Domino's Pizza,1,0,3.9,540,800,Dining,Popular
Hotboxit,0,0,3.8,36,400,Dining,Low
Kitchen Garden,1,0,3.6,244,300,Dining,Moderate
Recipe,1,0,4,804,450,Dining,Popular
Beijing Bites,1,0,3.7,679,850,Dining,Popular
Tasty Bytes,1,0,3.1,245,300,Dining,Moderate
Petoo,0,0,3.7,21,450,Dining,Low
Shree Cool Point,1,0,4.1,28,150,Dining,Low
Corner House Ice Cream,0,0,4.3,345,400,Dining,Popular
Biryanis And More,1,0,4,618,750,Dining,Popular
Roving Feast,0,0,4,1047,450,Dining,Very popular
FreshMenu,1,0,3.9,627,450,Dining,Popular
Banashankari Donne Biriyani,1,0,3.8,104,300,Dining,Moderate
Wamama,1,1,4.2,354,800,other,Popular
Five Star Chicken,0,0,3.6,55,200,Dining,Low
XO Belgian Waffle,1,0,3.7,17,400,Dining,Low
Peppy Peppers,0,0,4.2,244,800,other,Moderate
Goa 0 Km,1,1,3.6,163,800,Dining,Moderate
Chinese Kitchen,1,0,3.8,58,150,Dining,Low
Jeet Restaurant,0,1,4,808,850,Dining,Popular
Cake of the Day,0,0,3.7,78,150,Dining,Low
Kabab Magic,1,0,4.1,1720,400,Dining,Very popular
Namma Brahmin's Idli,1,0,3.6,34,100,Dining,Low
Gustoes Beer House,0,0,4.1,868,700,Dining,Popular
Sugar Rush,0,0,3.8,39,300,Dining,Low
